100 192
0 56 1
1 79 1
1 18 0
1 64 4
2 0 7
3 8 8
4 57 5
4 36 7
4 28 7
5 3 4
5 12 4
5 22 2
6 16 7
6 44 0
7 33 9
7 80 7
7 5 1
8 21 9
8 10 9
9 65 0
9 57 9
10 84 4
11 58 8
11 22 7
11 28 4
12 34 2
12 27 1
13 30 9
13 86 7
13 56 9
14 85 7
14 94 5
15 45 9
16 4 7
17 45 5
17 48 8
17 68 8
18 34 3
19 54 2
19 6 2
19 82 6
20 16 9
20 39 4
21 87 6
21 30 0
21 26 7
22 73 9
23 37 9
23 7 5
24 29 1
25 36 1
25 30 0
25 70 7
26 70 2
27 39 0
27 40 3
27 29 8
28 11 6
28 64 2
29 3 4
30 76 0
30 1 3
30 93 1
31 42 4
31 17 1
32 20 8
33 76 8
34 52 1
34 66 3
34 48 1
35 39 1
35 26 4
36 74 6
37 9 4
38 93 7
39 55 5
40 4 7
40 88 0
40 43 7
41 74 1
42 58 6
42 21 4
43 83 9
43 86 7
44 15 4
44 54 0
44 23 6
45 88 3
46 63 7
46 1 9
46 62 7
47 56 5
47 54 6
48 14 5
48 34 7
49 33 2
49 7 3
50 16 2
50 2 9
51 60 7
51 35 2
51 16 6
52 55 1
52 39 5
53 7 3
53 10 0
53 36 0
54 33 7
54 18 9
54 46 1
55 58 4
55 76 0
56 44 6
57 76 7
57 26 8
58 5 5
59 34 5
59 48 0
59 67 2
60 41 5
60 33 6
61 85 6
61 91 0
61 92 2
62 35 7
62 99 8
63 5 2
63 77 5
64 47 9
64 92 5
64 65 0
65 34 6
65 51 8
65 64 1
66 23 8
66 52 4
67 18 9
67 40 8
68 97 8
69 88 9
69 22 9
70 59 3
71 30 0
72 99 4
72 30 0
72 56 2
73 25 3
73 52 6
74 58 7
75 54 9
76 94 2
76 24 7
77 12 6
78 85 0
78 3 4
78 20 5
79 16 3
79 81 3
80 63 9
81 72 2
81 49 9
82 90 5
83 76 1
83 50 4
83 92 6
84 34 7
84 70 8
85 58 6
85 53 3
86 16 6
87 67 7
88 47 8
88 49 6
89 64 5
89 44 5
90 8 4
90 32 3
90 80 7
91 62 0
92 67 8
92 7 0
93 5 0
94 72 3
95 17 8
96 74 9
96 82 2
96 11 8
97 23 0
97 4 0
98 7 5
99 82 5
99 28 4
